ComplaintNo,Date,Complaint,Complaint Completed,Result,Address,Cert #,City,DBA,Name,State,Telephone
5066,9/19/2017 12:00:00 AM,complainant believes car was wrongfully towed and tower was rude and abbusive,9/25/2017 12:00:00 AM,no violations found against towing company,12 GRANT AVENUE,21852,BELMONT,,FRANK'S TOWING,MA,7815931200.0
5066,,"Complainant alleges wrongful towing from Rugg Road, Brighton",,"Complainant's car was towed from Emery Road, which BPD confirms is a private way. No violations found.",12 GRANT AVENUE,21852,BELMONT,,FRANK'S TOWING,MA,7815931200.0
3414,4/2/2019 12:00:00 AM,Complainant believes she was overcharged for a recent involuntary tow.,4/12/2019 12:00:00 AM,No towing violations found against company.,25 CREEK STREET,14788,BEVERLY,BIG JIM'S TOWING,"BIG JIM'S AUTO BODY, INC.",MA,9789278420.0
52721,3/25/2019 12:00:00 AM,Complainant believes his vehicle was srongfully towed,4/11/2019 12:00:00 AM,no towing violations found against company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,3/5/2019 12:00:00 AM,Complainant believes she was wrongfully towed.,4/9/2019 12:00:00 AM,Tower overcharged for drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,11/3/2018 12:00:00 AM,Complainant believes he was overcharged for a drop fee during a recent involuntary tow.,12/5/2018 12:00:00 AM,Towere refunded difference on drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,9/28/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,10/12/2018 12:00:00 AM,No violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,9/20/2018 12:00:00 AM,Complainant believes he was overcharged a drop fee during a recent tow.,10/16/2018 12:00:00 AM,tower agreed to a partial refund for drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,8/22/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed in the Seaport District,9/7/2018 12:00:00 AM,no violations found against towing company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,8/14/2018 12:00:00 AM,Complainant believes her car war wrongfully towed from a parking lot in South Boston.,9/6/2018 12:00:00 AM,"parking lot clearly marked, no violations found against tower.",46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,6/19/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a McDonald's parking lot.,7/10/2018 12:00:00 AM,"Business was closed, no towing violations found against company",46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,6/19/2018 12:00:00 AM,complainant believes her vehicle was wrongfully towed,7/10/2018 12:00:00 AM,No violations found against towing company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,5/15/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from bank parking lot.,6/8/2018 12:00:00 AM,no violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,11/27/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a 15-minute parking space.,12/15/2017 12:00:00 AM,no violations found against tower,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,7/11/2017 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,8/3/2017 12:00:00 AM,no violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
48797,3/12/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during snow emergency.,5/22/2018 12:00:00 AM,no violations found against towing company.,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
48797,10/31/2017 12:00:00 AM,Complainant believes his vehicle was damaged during a tow.,,Complainant was given insurance information in order to submit a claim for damages.,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
48797,7/1/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed,11/16/2017 12:00:00 AM,no violations found against towing company,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
18219,10/2/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,10/18/2017 12:00:00 AM,no violations found against tower,1200 MONTELLO STREET,27314,BROCKTON,MONTELLO BUSINESS ASSOC INC,LYNCH'S TOWING,MA,6172850826.0
2107,2/27/2017 12:00:00 AM,Insurance company believes client was overcharged for recent tow,4/7/2017 12:00:00 AM,no violations found against towing company,25 WALL STREET,4777,BURLINGTON,RICHARD MORGAN & EDWARD IGO,WINN ST. SERVICE,MA,
4549,12/4/2017 12:00:00 AM,complainant says he was charged the full tow amount for a drop tow situation.,12/21/2017 12:00:00 AM,no violations found against towing company,50 MOONEY STREET,20303,CAMBRIDGE,,B & B TOWING INC,MA,5083781166.0
37645,9/17/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and he was overcharged.,10/17/2018 12:00:00 AM,Tower agreed to partial refund,162 Alewife Parkway,30470,CAMBRIDGE,,BOSTONIAN TOWING SERVICE INC,MA,5086501202.0
37645,2/15/2018 12:00:00 AM,Complainant believes both he and his wife's car were wrongfully towed,7/21/2018 12:00:00 AM,Tower was required to refund both mileage and fuel costs for each vehicle.,162 Alewife Parkway,30470,CAMBRIDGE,,BOSTONIAN TOWING SERVICE INC,MA,5086501202.0
37923,4/12/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,5/16/2018 12:00:00 AM,Tower refunded one day storage,868 TURNPIKE STREET,30646,CANTON,,PAT'S TOWING,MA,7819630699.0
37923,7/31/2017 12:00:00 AM,Complainant believes he was overcharged for a towing drop fee.,10/17/2017 12:00:00 AM,no violations found against tower. No evidence tow occurred,868 TURNPIKE STREET,30646,CANTON,,PAT'S TOWING,MA,7819630699.0
31504,10/20/2017 12:00:00 AM,Insurance company believes tower overcharged for storage and admin charges,12/15/2017 12:00:00 AM,Department ordered tower to refund amount for washing of tow truck,6 ROLAND STREET,29180,CHARLESTOWN,,CITY SIDE ENTERPRISES INC,MA,7813371009.0
31504,7/5/2017 12:00:00 AM,Complainant believes he was overcharged on a recent involuntary tow,8/2/2017 12:00:00 AM,tower refunded money charged for fuel,6 ROLAND STREET,29180,CHARLESTOWN,,CITY SIDE ENTERPRISES INC,MA,7813371009.0
37543,3/15/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,3/29/2019 12:00:00 AM,No towing violations found against company.,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,3/15/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,3/29/2019 12:00:00 AM,No towing violations found against company.,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,11/7/2017 12:00:00 AM,Complainant requested DPU to assist with $500 towing bill.,11/9/2017 12:00:00 AM,"Department contacted tower, received invoice, no violations of towing statutes. Vehicle owned by Sal Burra of Lowell, MA. Complainant was advised that any further complaint would need to come from vehicle owner",76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,11/7/2017 12:00:00 AM,Complainant requested DPU to assist with $500 towing bill.,11/9/2017 12:00:00 AM,"Department contacted tower, received invoice, no violations of towing statutes. Vehicle owned by Sal Burra of Lowell, MA. Complainant was advised that any further complaint would need to come from vehicle owner",76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,1/9/2017 12:00:00 AM,Complainant believes he was overcharged for a recent tow,,No violations found against towing company,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,1/9/2017 12:00:00 AM,Complainant believes he was overcharged for a recent tow,,No violations found against towing company,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
3792,10/10/2017 12:00:00 AM,Police officer questions charges related to towing of postal service truck following and accident.,10/31/2017 12:00:00 AM,Tower decided to refund amounts questioned by CPD.,68 WEST STREET,16961,CHICOPEE,"CHUCK'S AUTO SERVICE, INC.",CHUCK'S TOWING SERVICE,MA,4135928118.0
961,4/5/2018 12:00:00 AM,Complainant believes she was overcharged for the towing of her vehicle,,Tower refunded both one day of storage as well as a gate fee.,25 SHERIDAN STREET,1025,CHICOPEE,,GENO'S AUTO SERVICE INC,MA,4135944757.0
48650,5/9/2019 12:00:00 AM,Commercial tow. Complainant believes he was overcharged.,5/17/2019 12:00:00 AM,Commercial tow. No violations found againt towing company.,1660 WESTOVER ROAD,30834,CHICOPEE,,INTERSTATE TOWING INC,MA,4017664200.0
36178,4/1/2017 12:00:00 AM,Complainant believes she was overcharged for a tow in Danvers,4/19/2017 12:00:00 AM,tower agreed to refund one day of storage fee.,22R SCHOOL STREET,29828,DANVERS,DANVERS AUTO BODY & TOWING LLC,WELLS CAR SALES TOWING,MA,9782363627.0
37443,11/21/2017 12:00:00 AM,Commercial trailer was towed. Complainant is a reposession company and wanted updated invoice from tower,11/27/2017 12:00:00 AM,Department contacted tower and had them send an updated invoice to reposession company. Complainant was also furnished state towing statutes showing commercial tow regulations.,653 FAUNCE CORNER ROAD,30347,DARTMOUTH,,"DARTMOUTH TOWING, INC.",MA,5087429211.0
4483,1/27/2017 12:00:00 AM,complainant believes her car was wrongfully towed,2/22/2017 12:00:00 AM,no violations found against tower,303 WHITING AVENUE,20092,DEDHAM,d/b/a Parkway Towing,"PARKWAY AUTOMOTIVE, INC.",MA,7813294160.0
7887,4/18/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,5/17/2019 12:00:00 AM,company agreed to refund overage,18 TALBOT AVENUE,26612,DORCHESTER,SAME,ALWAYS OPEN AUTOMOTIVE INC,MA,5085647200.0
7887,4/5/2017 12:00:00 AM,Complainant believes he was wrongfully charged for the towing of his vehicle.,7/12/2017 12:00:00 AM,tow company agreed to refund mileage charge.,18 TALBOT AVENUE,26612,DORCHESTER,SAME,ALWAYS OPEN AUTOMOTIVE INC,MA,5085647200.0
4736,3/27/2017 12:00:00 AM,Complainant believes vehicle was unlawfully towed due to incorect construction signage,4/18/2017 12:00:00 AM,no violations found against tower,82 CHRISTOPHER ST,20865,DORCHESTER,,"CHEVY AUTO BODY, INC.",MA,8004434513.0
26297,10/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during a recent emergency.,10/29/2018 12:00:00 AM,Tow ordered by BPD. No violations found against towing company.,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,10/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,10/30/2018 12:00:00 AM,Tow ordered by Boston Housing. No violations found against tower.,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,12/13/2017 12:00:00 AM,complainant believes her car was wrongfully towed,1/10/2018 12:00:00 AM,No violations found against towing company.,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,10/10/2017 12:00:00 AM,Complainant believes his car was wrongfully towed in Charlestown,11/6/2017 12:00:00 AM,Complainant did not have housing sticker on vehicle. No violations found against tower.,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,4/21/2017 12:00:00 AM,complainant believes his vehicle was wrongfully towed,5/12/2017 12:00:00 AM,no violations found against towing company,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,4/12/2017 12:00:00 AM,Complainant believes her car was wrongfully towed,7/13/2017 12:00:00 AM,no violations found against towing company,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
26297,2/1/2017 12:00:00 AM,complainant believes she was wronguflly towed,3/3/2017 12:00:00 AM,no violations found against towing company,150 FREEPORT STREET,28585,DORCHESTER,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161.0
48623,5/25/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a parking garage.,6/4/2019 12:00:00 AM,Tow authorized by management company agreement. No violations found.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,4/26/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,5/23/2019 12:00:00 AM,No violations found against towing company.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,11/20/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a school parking lot.,12/6/2018 12:00:00 AM,No violations found against towing company.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,10/31/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a school parking lot.,12/5/2018 12:00:00 AM,No violations found against towing company.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,9/17/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed and damaged.,10/16/2018 12:00:00 AM,no towing violations found against company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,6/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and disposed of in 2017 while he was out of the country.,8/1/2018 12:00:00 AM,No violations of towing statutes by this company.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,4/5/2018 12:00:00 AM,complainant believes her car was wrongfully towed for trespassing.,4/26/2018 12:00:00 AM,no violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,1/11/2018 12:00:00 AM,Complainant questions the need for a certified letter if vehicle was picked up the next day.,1/27/2018 12:00:00 AM,No violations found agains towing company.,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,12/24/2017 12:00:00 AM,Complainant belueves his vehicle was wrongfully towed for 'blocking',1/26/2018 12:00:00 AM,No violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,12/12/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from School Street in Charlestown ma,12/21/2017 12:00:00 AM,no violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,8/23/2017 12:00:00 AM,Complainant believes he was wrongfully charged an extra day of storage on an involuntary tow,8/31/2017 12:00:00 AM,Tower agreed to refund one day of storage to complainant,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,6/22/2017 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,7/12/2017 12:00:00 AM,No violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,4/28/2017 12:00:00 AM,Complainant believes vehicle was wrognfully towed because of incorrect construction signage,5/12/2017 12:00:00 AM,no violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,4/19/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed from school parking lot,5/3/2017 12:00:00 AM,no violations found against towing company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,4/3/2017 12:00:00 AM,Complainant believes her car was wrongfully towed during street cleaning,4/14/2017 12:00:00 AM,no violations found against towing service,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,2/1/2017 12:00:00 AM,Complainant believes her car was wrongfully towed from Wlagreens in East Boston,5/12/2017 12:00:00 AM,No towing violations found against company,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
48623,1/4/2017 12:00:00 AM,Complainant believes she was towed prior to times listed on parking sign,1/13/2017 12:00:00 AM,Complainant was refunded full amount of tow,94 REAR CONDOR STREET,30821,EAST BOSTON,,"TODISCO SERVICES, INC.",MA,7812612000.0
52815,3/28/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,4/16/2019 12:00:00 AM,No violations found against towing company.,60 FRANKLIN ST REAR,31849,EAST BRIDGEWATER,TIMOTHY J BAILEY,BAILEY'S TRI TOWN SERVICE,MA,5082794454.0
52576,12/16/2017 12:00:00 AM,Complainant believes he was overcharged for the storage on his towed vehicle.,1/10/2018 12:00:00 AM,Tower agreed to refund two days of storage charges,235 JOHN STREET,31679,FALL RIVER,SALEM Z ALZAIBAK,VIC'S TOWING SERVICE,MA,5089954553.0
29860,11/14/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,12/19/2018 12:00:00 AM,Tower agreed to refund some of the towing bill.,55 PEARL STREET,28946,FRAMINGHAM,HEK ENTERPRISE INC.,HENRY'S TOWING & SERVICE CTR,MA,5085647200.0
29860,4/9/2018 12:00:00 AM,Complainant believes she was overcharged for recent vehicle tow.,4/27/2018 12:00:00 AM,Tower agreed to refund one day storage charge.,55 PEARL STREET,28946,FRAMINGHAM,HEK ENTERPRISE INC.,HENRY'S TOWING & SERVICE CTR,MA,5085647200.0
37919,10/31/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from city parking lot.,11/29/2018 12:00:00 AM,Tower reimbursed one day storage to complainant.,258 IRVING STREET,30640,FRAMINGHAM,"SNOW'S GARAGE, INC.",SMITTY'S TOWING,MA,7817623824.0
2303,5/12/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,8/15/2017 12:00:00 AM,"Tower agreed to refund half of storage fee since they don't have fenced, gated storage yard",286 FEDERAL STREET,5537,GREENFIELD,,"GOLY'S GARAGE, INC.",MA,4137739913.0
52445,6/26/2019 12:00:00 AM,Complanaint believes she was recently overcharged for a recent commercial tow from an mbta station.,6/26/2019 12:00:00 AM,Towing company was advised via e-mail that the initial towing amount was beyond that listed in towing statutes and they would need to refund difference.,437 EAST WASHINGTON STREET,31596,HANSON,TIMOTHY MCQUARRIE,MCQUARRIE AUTO ENGINEERING,MA,7812936331.0
52445,11/6/2017 12:00:00 AM,Insurance company questions amounts of vehicle recovery billing after accident.,12/19/2017 12:00:00 AM,Company agreed to refund overcharging for vehicle since it was a passenger plate and not commercial.,437 EAST WASHINGTON STREET,31596,HANSON,TIMOTHY MCQUARRIE,MCQUARRIE AUTO ENGINEERING,MA,7812936331.0
4009,12/18/2017 12:00:00 AM,Complainant believes she was overcharged for towign and storage of her vehicle,1/10/2018 12:00:00 AM,no violations found against towing company,116 RIDGEWOOD AVENUE,18119,HYANNIS,,"BUCKLER'S TOWING SERVICE, INC.",MA,5087711632.0
4009,1/5/2017 12:00:00 AM,Complainant believes he was wrongfully towed,1/23/2017 12:00:00 AM,Complainant refunded amount for mathmatical error by company,116 RIDGEWOOD AVENUE,18119,HYANNIS,,"BUCKLER'S TOWING SERVICE, INC.",MA,5087711632.0
5144,4/29/2019 12:00:00 AM,Complainant believes he was overcharged during recent involuntary tow.,5/17/2019 12:00:00 AM,No violations found for towing company.,100 SCUDDER AVENUE,22077,HYANNIS,,CAPEWAY TOWING SERVICE,MA,5086735893.0
52490,11/19/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,1/10/2019 12:00:00 AM,Tower refunded amount of tow.,750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
52490,7/24/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,9/12/2018 12:00:00 AM,No violations found against towing company,750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
52490,6/20/2018 12:00:00 AM,"*533 Lowell Mail Center
Complainant believes her vehicle was wrongfully towed",9/20/2018 12:00:00 AM,Tower agreed to refund difference in mileage overcharge.,750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
52490,4/12/2018 12:00:00 AM,Complainant believes her car was damaged during an involuntary tow. Also wanted to submit towing complaint,,Complainant given tower's insurance information to begin claim process. Towing complaint submitted to tower,750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
52490,3/31/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,5/4/2018 12:00:00 AM,No violations found against towing company,750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
52490,2/6/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,5/4/2018 12:00:00 AM,"* Originally entered 02/21/2018*
No violations found against towing company.",750 HYDE PARK AVE,31620,HYDE PARK,,ANYTIME TOWING INC,MA,5084594700.0
2776,4/16/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from supermarket parking area.,4/25/2019 12:00:00 AM,no violations found against towing company,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,11/19/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,11/26/2018 12:00:00 AM,Rental car without parking sticker. No violations found against towing company,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,11/6/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a housing complex,11/14/2018 12:00:00 AM,No violations of state towing statutes were found.,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,10/16/2017 12:00:00 AM,complainant believes her vehicle was towed incorrectly due to street cleaning,10/27/2017 12:00:00 AM,no violations found against towing company,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,9/29/2017 12:00:00 AM,Complainant called in to argue about prices and treatment at towers location. Continually refused to accept explanations,9/27/2017 12:00:00 AM,"After contacting company, arranged towing bill to include only tow amount and storage.",3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,8/22/2017 12:00:00 AM,Complainant believes his company was wrongfully charged for accident clean up.,9/20/2017 12:00:00 AM,"Tower agreed to refund charges for clean up, labor and speedi dry at scene.",3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,1/23/2017 12:00:00 AM,Complainant believes he was wrongfully towed.,,no violations found against towing company,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
2776,,Complainant believes his car was wrongfully towed,,street cleaning tow. No violations found.,3430 WASHINGTON STREET,9200,JAMAICA PLAIN,,STANLEY SERVICE INC,MA,7819373200.0
37482,6/8/2019 12:00:00 AM,Complianant believes he is being overcharged for a recent involuntary tow.,6/21/2019 12:00:00 AM,"Department received response from tower, explained that pricing needed to fall under 220 cmr 272. Tower redid bill, which was then submitted to complainant.",11 JOSEPH STREET,30371,KINGSTON,COLLARI AUTOMOTIVE,TIGER TOWING,MA,5084594700.0
5182,10/30/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,12/5/2018 12:00:00 AM,Police ordered tow. No violations found against towing company.,164 HIGH STREET EXT.,22211,LANCASTER,"TJM AUTO BODY, INC.",LANCASTER A-1 AUTO BODY/HENNA,MA,8882408803.0
2080,3/4/2019 12:00:00 AM,"Complainant claims that his vehicles were towed illegally in April, 2015",3/12/2019 12:00:00 AM,Complaint was determined to be a private concern best handled by either AG'a office or small claims. Complainant sent information for AG's office.,139 MARSTON STREET,4710,LAWRENCE,,COADY'S GARAGE & TOWING SERVIC,MA,8882408803.0
52633,12/4/2018 12:00:00 AM,Insurance company believes their client was overcharged for accident tow in June 2018.,12/14/2018 12:00:00 AM,Vehicle was impounded by Shirley Police. No violations fo towing statutes found against company.,25 MOHAWK DRIVE,31713,LEOMINSTER,,A&G TOWING REPAIR CORP,MA,9783436946.0
52832,10/20/2017 12:00:00 AM,"Insurance company questions towers fees regarding rollover accident(storage, yard fees, collision wrap)",11/27/2017 12:00:00 AM,All fees were results of shop work done on rollover vehicle. No statutory violations found against towing company.,727 LANCASTER STREET,22071,LEOMINSTER,QUALITY AUTO BODY,QUALITY TOWING & RECOVERY INC,MA,9783436946.0
3640,2/6/2017 12:00:00 AM,Complainant believes he was overcharged for commercial tow. Requests detailed tow receipt,3/3/2017 12:00:00 AM,regulations adhered to during tow operation. No violations found,260 LANCASTER ROAD,16154,LEOMINSTER,"PIERMARINI, INC., RICK",RICKY'S TOWING,MA,5087598022.0
5451,6/7/2017 12:00:00 AM,Complainant believes he was overcharged for  recent involuntary tow,7/5/2017 12:00:00 AM,No violations found against tower,256 SMITH STREET,22946,LOWELL,,KAZANJIAN'S AUTO  REP SHOP IN,MA,8882408803.0
51937,7/27/2017 12:00:00 AM,complainant believes here vehicle was wrongfully towed,8/18/2017 12:00:00 AM,"Tow was called in by tenant for illegal parking, no violations.",26 TANNER STREET,31245,LOWELL,,LOWELL FLEET TOWING INC,MA,4014353600.0
