Address,Authority,Cert #,City,Complaints,DBA,Name,State,Telephone
907 BEDFORD STREET,TOWER,31615,ABINGTON,52483,STONE'S AUTO RECYCLING INC,ABINGTON SUNOCO,MA,7818266484
346 North Avenue,TOWER,31563,ABINGTON,52379,,BLACKWATER TOWING INC,MA,6178470005
325 WASHINGTON STREET,TOWER,27984,ABINGTON,25852,,"ROUTE 18 AUTO BODY, INC.",MA,7818263804
288 NORTH AVENUE,TOWER,14787,ABINGTON,3413,"UNIVERSAL AUTO BODY, INC.","UNIVERSAL AUTO BODY, INC.",MA,7818785700
21 KEEFE ROAD,TOWER,25499,ACTON,48949,WORLD AUTO CARS INC,INTERNATIONAL COLLISION CENTER,MA,9783694313
5 WILLOW STREET,TOWER,30954,ACTON,48814,,SAL'S AUTO & TRUCK REPAIR,MA,9786575100
95 COMMERCIAL STREET,TOWER,30971,ADAMS,48831,,"AL'S SERVICE CENTER, INC.",MA,8882408803
101 HOWLAND AVENUE,TOWER,24069,ADAMS,5920,,"FILLION, INC.",MA,4136649366
100 BUCKLIN ROAD,TOWER,15871,ADAMS,3586,,SEBASTINO'S SERVICE & USED CAR,MA,4136641053
1363 MAIN STREET,TOWER,26778,AGAWAM,16104,,A-C-E AUTO BODY,MA,8602591423
61 RAMAH CIRCLE South,TOWER,29567,AGAWAM,34221,,LANGONET INC,MA,4137817000
245 SPRINGFIELD STREET,TOWER,15260,AGAWAM,3486,,SARAT FORD SALES INC,MA,4137817000
100 HANO STREET,TOWER,31910,ALLSTON,52313,ALLSTON TOWING SVC&RPR INC,BRIGHTON TOWING,MA,8008952886
2 EMERY ROAD,TOWER,31401,ALLSTON,52146,,D & G TOWING AND AUTO REPAIR S,MA,5082380056
207 ELM STREET,TOWER,15693,AMESBURY,3557,,AMESBURY COACH,MA,9784751146
100 HAVERHILL ROAD (RTE 110),TOWER,24234,AMESBURY,7235,ALFRED PRATT,AMESBURY TOWING,MA,9789562116
207R ELM STREET,TOWER,22488,AMESBURY,5277,,DELONG AUTO BODY,MA,9784751146
27 SOUTH HUNT ROAD,TOWER,3115,AMESBURY,1623,NEWBURYPORT TOWING SERVICE INC,NEWBURYPORT TOWING SERVICE INC,MA,9788477773
100 SUNDERLAND ROAD,TOWER,31680,AMHERST,52575,,AMHERST TOWING & RECOVERY LLC,MA,4139673327
260 COLLEGE STREET,TOWER,26144,AMHERST,7455,C & J ENTERPRISES,COLLEGE STREET MOTORS,MA,4137392900
9 LUPINE ROAD,TOWER,23607,ANDOVER,5711,,ELM STREET AUTOMOTIVE CENTRE,MA,9784750260
19 OLD SOUTH ROAD,TOWER,23087,AQUINNAH,5516,,WIDDISS RECOVERY,MA,5086932800
712 SUMMER STREET,TOWER,28853,ARLINGTON,29135,,"PALMER'S GARAGE, INC.",MA,7818178545
43 NICKERSON ROAD,TOWER,31399,ASHLAND,52145,,ADVANTAGE COLLISION CENTER INC,MA,5084594712
2 YALE STREET,TOWER,31860,ASHLAND,52828,J & M TOWING INC,J & M TOWING INC,MA,7812819688
71 SOUTH MAIN,TOWER,31551,ASSONET,52363,,MAIN STREET GAS&AUTO SALES INC,MA,5086760309
158 Marble Street,TOWER,31426,ATHOL,52183,DAVID M BISHOP,C & D TOWING,MA,9783454131
25 BICKFORD DRIVE,TOWER,30903,ATHOL,48753,One Luther Inc.,DALE'S AUTO BODY & GENERAL Rep,MA,9782493217
163 COLVIN STREET,TOWER,31147,ATTLEBORO,51820,,COASTAL COLLISION & TOWING INC,MA,4017221185
24 RICE STREET,TOWER,31364,ATTLEBORO,52103,,EAST COAST AUTO SALES&SVC INC,MA,5083781166
227 pine street,TOWER,25287,ATTLEBORO,6594,,MIKE'S TOWING & RECOVERY INC,MA,5082523312
24 RICE STREET,TOWER,30625,ATTLEBORO,37895,,"STERRY STREET AUTO SALES, INC.",MA,5085647200
34 MILL STREET,TOWER,31382,AUBURN,52138,MICHAEL ROBIDOUX,CENTRAL MASS TOWING,MA,6174643777
505 WASHINGTON STREET,TOWER,14529,AUBURN,3368,,FULLER AUTOMOTIVE SERVICE INC.,MA,5083666161
340 EAST SPRING ST,TOWER,16256,AVON,3657,,GEORGE'S GARAGE INC,MA,5085863400
385 CENTRAL AVENUE,TOWER,16167,AYER,3644,,CENTRAL COLLISION CENTER,MA,9787220070
77 FITCHBURG ROAD,TOWER,29289,AYER,32654,,"RTE. 2A AUTO SALES, INC.",MA,8004470633
40 LITTLETON ROAD,TOWER,31498,AYER,52272,SCOTT TERRANOVA,TERRANOVA AUTO BODY,MA,
180 GREAT ROAD,TOWER,31188,BEDFORD,51879,,"RIGGIO AUTO REPAIR, INC.",MA,9786702122
111 SARGENT ST,TOWER,31882,BELCHERTOWN,52869,RELENTLESS TOWING & RECOVERY,RELENTLESS TOWING & RECOVERY,MA,4137373539
794 SOUTH MAIN STREET,TOWER,30669,BELLINGHAM,37955,,"BELLINGHAM PARTS PLUS, INC.",MA,5084730556
46 NORTH MAIN STREET,TOWER,30711,BELLINGHAM,38020,,BELLINGHAM TOWING,MA,8007342706
1201 PULASKI BLVD,TOWER,31291,BELLINGHAM,51992,"LAKE ST AUTO SALES & SVC, LTD","LAKE ST AUTO SALES & SVC, LTD",MA,5084730556
46 N MAIN STREET,TOWER,30350,BELLINGHAM,37442,MARTY'S AUTO SERVICE,MARTY'S AUTO SERVICE INC,MA,8007342706
12 GRANT AVENUE,TOWER,21852,BELMONT,5066,,FRANK'S TOWING,MA,7815931200
47 COUNTY STREET,TOWER,20232,BERKLEY,4530,,BOB'S AUTO REPAIR,MA,5088248666
3 ALGERINE STREET,TOWER,24203,BERKLEY,7216,,FLINT'S AUTO PARTS,MA,5088245875
51 WEST STREET,TOWER,24795,BERLIN,6296,,BERLIN AUTO SERVICE INC,MA,6179691300
75 CARTER STREET,TOWER,31721,BERLIN,52648,BRIAN CLEMMER,WHEELER'S GARAGE,MA,9785625652
25 CREEK STREET,TOWER,14788,BEVERLY,3414,BIG JIM'S TOWING,"BIG JIM'S AUTO BODY, INC.",MA,9789278420
126 R. PARK STREET,TOWER,25879,BEVERLY,7106,,"NEW BEVERLY AUTO CLINIC, INC.",MA,5083781166
737 BOSTON ROAD,TOWER,31271,BILLERICA,51966,,AUTOMOTIVE TECH & TRANS. LLC,MA,5087547255
PO BOX 861,TOWER,26992,BILLERICA,48539,,MERCER & SONS MOVERS,MA,9786672541
335 BOSTON ROAD,TOWER,31379,BILLERICA,52122,CHARLES E CARROLL,NEW ENGLAND FRAME,MA,9789751300
812 BOSTON ROAD,TOWER,21088,BILLERICA,4817,,PATTERSON'S TOW SERV. OF BDFD.,MA,9786633301
247 ELM STREET,TOWER,28003,BLACKSTONE,52218,ANDREW JOSEPH,ANDREW'S TOWING AND RECOVERY,MA,5085285100
319 MAIN STREET,TOWER,31301,BLACKSTONE,52005,,R K AUTO BODY & SALES INC,MA,7817923256
46 NEWMARKET SQ,TOWER,31780,BOSTON,52721,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200
1048 BLUE HILL AVE,TOWER,31827,BOSTON,52795,,EJW TRUCKING LLC,MA,
255 SOUTHHAMPTON STREET,TOWER,31303,BOSTON,52008,,IN & OUT SERVICE INC,MA,8009228246
37 CHAUCER ST,TOWER,31864,BOSTON,52850,,MILAN TOWING INC,MA,6178845480
90A FREEPORT STREET,TOWER,20746,BOSTON,4694,,"T & T TOWING, INCORPORATED",MA,7812935500
255 SOUTHAMPTON STREET Rear,TOWER,30930,BOSTON,48797,,WALSH TOWING CO,MA,6172681200
795 MASSACHUSETTS AVENUE,TOWER,30882,BOXBOROUGH,48723,,"CBK AUTOMOTIVE REPAIR, INC.",MA,7819373200
141 SCHOOL STREET,TOWER,30454,BOYLSTON,37608,,"BOYLSTON MASS AUTO BODY, INC.",MA,8003337234
43 SOUTH WARREN STREET,TOWER,23634,BRADFORD,5725,,R. M. TOWING CO.,MA,9786881921
65 SHERBROOK AVENUE,TOWER,29587,BRAINTREE,34252,,N.E. AUTO TRANS. P/U & DELI.SE,MA,5085647200
"817 Washington Street,Unit202",TOWER,31749,BRAINTREE,52688,,SUNSET TOWING INC,MA,7818487652
57 JERSEY AVENUE,TOWER,28132,BRAINTREE,22711,SAME,"WYNOT'S TOWING, INC.",MA,6173544640
446 UNDERPASS ROAD,TOWER,25055,BREWSTER,6437,,DON'S AUTO COSMETICS INC,MA,8005531801
155 UNDERPASS ROAD,TOWER,25138,BREWSTER,6493,,MACGREGOR CO.,MA,5085647200
333 BEDFORD STREET,TOWER,27720,BRIDGEWATER,20703,"W.R. ELLIS CORP., INC.",BRIDGEWATER AUTO BODY,MA,5086972200
1775 OLD PLYMOUTH STREET,TOWER,23794,BRIDGEWATER,5796,,"CHUCKRAN AUTO PARTS, INC.",MA,8888509400
100 FIREWORKS CIRCLE,TOWER,31598,BRIDGEWATER,52451,NEAI CORPORATION,NEW ENGLAND ASSOCIATES,MA,6029955692
8 OAKWOOD RD,TOWER,31852,BRIMFIELD,52821,,BT AND SONS TOWING & RECOVERY,MA,4132457600
86 HOLLAND ROAD,TOWER,18483,BRIMFIELD,4081,,ONE STOP TOWING,MA,4132138378
1200 Montello Street,TOWER,31375,BROCKTON,52109,K LEGRICE INC,A & S SERVICE CENTER,MA,5085863400
193 GROVE STREET,TOWER,18418,BROCKTON,4069,,AL & VIC'S SERV STATION INC,MA,5086634100
210 N. CARY STREET,TOWER,27694,BROCKTON,20352,,"ASSOCIATED TOWING, INC.",MA,5085647200
1029 PEARL STREET,TOWER,30441,BROCKTON,37602,,"BOURNES ENTERPRISES, INC.",MA,5074555200
511 THATCHER STREET,TOWER,31461,BROCKTON,52219,REGAL AUTO PARTS INC,BROCKTON AUTO PARTS,MA,9786923330
21 TERMINAL PL,TOWER,31916,BROCKTON,52912,,CELTIC TOWING LLC,MA,7817695200
208 PLEASANT STREET,TOWER,31166,BROCKTON,51839,CICCHETTI'S SVC STATION INC,CICCHETTI'S SERVICE STATION IN,MA,5085860599
515 NORTH MAIN STREET,TOWER,27639,BROCKTON,20793,,CITY WIDE TOWING,MA,5085860414
1489 MAIN STREET,TOWER,28121,BROCKTON,22209,,CLASSIC TOWING,MA,7812936331
1489 MAIN STREET,TOWER,29620,BROCKTON,34949,,"CRESCENT AUTO, INC.",MA,5085881260
189 - B CLINTON STREET,TOWER,26089,BROCKTON,7345,,DAVID'S AUTO SALES,MA,5085880414
553 THATCHER STREET,TOWER,15715,BROCKTON,3561,ANDRADE INC,EVERETT'S AUTO PARTS,MA,5086517700
189B CLINTON STREET,TOWER,6940,BROCKTON,2593,,G AND B AUTO SERVICE,MA,5085860414
74 WARREN AVENUE,TOWER,18244,BROCKTON,4035,,GEORGE'S SERVICE STATION,MA,5085875640
546 WARREN AVE,TOWER,25548,BROCKTON,6786,,GINIS AUTO REPAIR,MA,5089949688
36 PERKINS AVENUE,TOWER,31621,BROCKTON,52491,,JCB AUTO REPAIR AND TOWING INC,MA,5083666161
515 NORTH MAIN STREET,TOWER,30984,BROCKTON,48855,JOSE A ALMEIDA DBA,KMP TOWING,MA,5089990368
1200 MONTELLO STREET,TOWER,27314,BROCKTON,18219,MONTELLO BUSINESS ASSOC INC,LYNCH'S TOWING,MA,6172850826
20 TERMINAL PLACE,TOWER,30474,BROCKTON,37655,,MAG'S TOWING INC.,MA,5089415711
1200 montello Street,TOWER,28371,BROCKTON,25821,MANOLI TOWING INC,MANOLI TOWING INC,MA,5085647200
1200 Montello Street,TOWER,30436,BROCKTON,37586,,"MATHER'S TOWING, INC.",MA,7813413111
41 PERKINS STREET,TOWER,31651,BROCKTON,52539,,MICHAEL C MATHER SR,MA,5085875640
13 KING AVE,TOWER,31902,BROCKTON,52888,SIMONELLI'S TOWING&RECOVERY CO,SIMONELLI'S TOWING&RECOVERY CO,MA,5086926904
1109 MONTELLO STREET,TOWER,31755,BROCKTON,50215,,"TRIPLE M MOVERS & STORAGE, INC",MA,6174643777
191 GROVE STREET,TOWER,19054,BROCKTON,4202,,TROJANO'S,MA,7818488600
210 EAST ASHLAND STREET,TOWER,28980,BROCKTON,30290,,VINNY'S TOWING,MA,9786616915
827 BELMONT STREET,TOWER,29586,BROCKTON,34251,,WEST SIDE SUNOCO,MA,7818178518
74 WARREN AVE,TOWER,31517,BROCKTON,52312,,WESTGATE SERVICE LLC,MA,5085881260
53 GAY ROAD,TOWER,30929,BROOKFIELD,48786,,O'KEEFE TOWING & STORAGE,MA,5088676894
33 CENTRAL STREET,TOWER,9236,BROOKFIELD,2782,,WOODARD'S GARAGE,MA,5083476850
198 Harvard Street,TOWER,31216,BROOKLINE,51897,DWIGHT A CASSIDY,CASSIDY WRECKER SERVICE,MA,5085647200
49 MIDDLESEX TURNPIKE,TOWER,25641,BURLINGTON,6874,,NED'S HD TOWING INC,MA,7814496786
25 WALL STREET,TOWER,4777,BURLINGTON,2107,RICHARD MORGAN & EDWARD IGO,WINN ST. SERVICE,MA,
61 NIGHTNGALE POND ROAD,TOWER,28564,BUZZARDS BAY,27747,,BOB'S TRUCKING & EQUIP. SERV.,MA,5089949688
88 ONSET AVENUE,TOWER,30628,BUZZARDS BAY,37893,,"VAUGHNS TOWING & SERVICE, INC.",MA,5089949688
50 MOONEY STREET,TOWER,20303,CAMBRIDGE,4549,,B & B TOWING INC,MA,5083781166
162 Alewife Parkway,TOWER,30470,CAMBRIDGE,37645,,BOSTONIAN TOWING SERVICE INC,MA,5086501202
293 REVERE STREET,TOWER,6335,CANTON,2506,SAME,"INTERSTATE WRECKER SERV., INC.",MA,5085647200
868 TURNPIKE STREET,TOWER,30646,CANTON,37923,,PAT'S TOWING,MA,7819630699
180 RT. 8A NORTH,TOWER,26856,CHARLEMONT,16459,,STAGECOACH MOTORS & REPAIR,MA,8009228276
6 ROLAND STREET,TOWER,29180,CHARLESTOWN,31504,,CITY SIDE ENTERPRISES INC,MA,7813371009
5 GILLESPIE ROAD,TOWER,31524,CHARLTON,52323,,BASIC MAINTENANCE TRUCK CENTER,MA,5087915566
384 WORCESTER ROAD,TOWER,31665,CHARLTON,52562,MICHAEL S LUNDQUIST,BOOMBA'S 24 HR TOWING,MA,8003337234
ROUTE 20,TOWER,18287,CHARLTON,4041,,"LAMOUNTAIN CONSTRUCTION, INC.",MA,5083476850
190A BROOKFIELD ROAD,TOWER,18214,CHARLTON,4029,,MICHAEL'S SERVICE STATION LLC,MA,5088320404
76 Riverneck Road,TOWER,30408,CHELMSFORD,37543,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697
293 LITTLETON ROAD,TOWER,30737,CHELMSFORD,48510,,"FERREIRA TOWING, INC.",MA,5083781166
76 Riverneck Road,TOWER,30408,CHELMSFORD,37543,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697
293 LITTLETON ROAD,TOWER,30737,CHELMSFORD,48510,,"FERREIRA TOWING, INC.",MA,5083781166
172 SPENCER AVENUE,TOWER,31715,CHELSEA,52637,,MJS TOWING INC,MA,5085735893
172 SPENCER AVENUE,TOWER,31715,CHELSEA,52637,,MJS TOWING INC,MA,5085735893
260 ROUTE 20,TOWER,16023,CHESTER,3620,,RICHIE'S GENERAL SERVICE,MA,4135681243
260 ROUTE 20,TOWER,16023,CHESTER,3620,,RICHIE'S GENERAL SERVICE,MA,4135681243
68 WEST STREET,TOWER,16961,CHICOPEE,3792,"CHUCK'S AUTO SERVICE, INC.",CHUCK'S TOWING SERVICE,MA,4135928118
58 WEST STREET,TOWER,31374,CHICOPEE,52125,WEST END TRANSPORTATION,CHUCK'S TOWING SERVICE INC,MA,4135928118
25 SHERIDAN STREET,TOWER,1025,CHICOPEE,961,,GENO'S AUTO SERVICE INC,MA,4135944757
1660 WESTOVER ROAD,TOWER,30834,CHICOPEE,48650,,INTERSTATE TOWING INC,MA,4017664200
170 SOUTH STREET,TOWER,26360,CHICOPEE,7644,,"TONY'S & SON'S A. S.&S.,L,&R.I",MA,4135890901
115 CHESTNUT STREET,TOWER,28307,CLINTON,24487,,GUARANTY AUTO SALES,MA,5083666161
676 MAIN STREET,TOWER,28681,CLINTON,28093,,MAIN STREET AUTO. SERV. CENTER,MA,8772255276
88 WATER STREET,TOWER,31660,CLINTON,52551,,PAUL'S COLLISION & REPAIR,MA,5087623836
115 CHESTNUT STREET,TOWER,28307,CLINTON,24487,,GUARANTY AUTO SALES,MA,5083666161
676 MAIN STREET,TOWER,28681,CLINTON,28093,,MAIN STREET AUTO. SERV. CENTER,MA,8772255276
88 WATER STREET,TOWER,31660,CLINTON,52551,,PAUL'S COLLISION & REPAIR,MA,5087623836
"860 C J CUSHING HWAY, Rte 3A",TOWER,31645,COHASSET,52532,,SCITUATE COLLISION CORP,MA,5087541767
113 MAIN ROAD,TOWER,31549,COLRAIN,52359,JAACH LLC,COLRAIN SERVICE CENTER,MA,4136259437
271 MAIN ROAD,TOWER,29373,COLRAIN,33421,,MARTY'S REPAIR,MA,4135867373
30 PROSPECT STREET,TOWER,21288,DALTON,4873,LUCIEN & RICHARD MARTIN,DALTON AUTO BODY,MA,4135867373
118 HOLTEN STREET,TOWER,21387,DANVERS,4915,d/b/a Al's Auto Repair,AL'S AUTOMOTIVE LLC,MA,9789220086
22 SCHOOL STREET,TOWER,23094,DANVERS,5521,PAUL FINOCCHIARO,DANVERS AUTO BODY&TOWING LLC,MA,9789222288
22 SCHOOL STREET,TOWER,31263,DANVERS,51956,DANVERS AUTO BODY & TOWING LLC,PAUL'S TOWING,MA,9789222288
22R SCHOOL STREET,TOWER,29828,DANVERS,36178,DANVERS AUTO BODY & TOWING LLC,WELLS CAR SALES TOWING,MA,9782363627
653 FAUNCE CORNER ROAD,TOWER,30347,DARTMOUTH,37443,,"DARTMOUTH TOWING, INC.",MA,5087429211
30 RIVER STREET,TOWER,31012,DEDHAM,48904,,BIG JACK'S TOWING,MA,7817623824
1077 EAST STREET,TOWER,31553,DEDHAM,52358,,BILL & MIKE'S AUTOMOTIVE LLC,MA,7814496786
17 ATKINS STREET,TOWER,29229,DEDHAM,32046,,JOHN'S TOWING,MA,6179241100
1077 EAST STREET,TOWER,30444,DEDHAM,48858,"M.L. AUTOMOTIVE SERVICES, INC.",MIKE'S AUTOMOTIVE,MA,5083781166
303 WHITING AVENUE,TOWER,20092,DEDHAM,4483,d/b/a Parkway Towing,"PARKWAY AUTOMOTIVE, INC.",MA,7813294160
767 WILLIAMS STREET,TOWER,28056,DIGHTON,23395,,PACHECO TRUCKING,MA,5086696762
18 TALBOT AVENUE,TOWER,26612,DORCHESTER,7887,SAME,ALWAYS OPEN AUTOMOTIVE INC,MA,5085647200
82 CHRISTOPHER ST,TOWER,20865,DORCHESTER,4736,,"CHEVY AUTO BODY, INC.",MA,8004434513
310 COLUMBIA ROAD,TOWER,31846,DORCHESTER,52811,,KRUEGERS AUTO REPAIR,MA,6174715010
1110 DORCHESTER AVENUE,TOWER,26847,DORCHESTER,17055,,LEE MYLES TRANSMISSIONS,MA,9783227248
150 FREEPORT STREET,TOWER,28585,DORCHESTER,26297,,"PETER'S REP. AND AUTO BODY,INC",MA,5083666161
270 TALBOT AVE.,TOWER,29295,DORCHESTER,32886,,TDT ENTERPRISES,MA,6174365050
243A WEST MAIN STREET,TOWER,28633,DUDLEY,27879,,PRECISION AUTO REBUILDERS INC,MA,8009228381
"120 SCHOFIELD AVE, UNIT 8",TOWER,31801,DUDLEY,52748,,SH AUTO REPAIR LLC,MA,5089430938
1144 B SARATOGA STREET,TOWER,30906,EAST BOSTON,48755,,SPENCER'S TOWING,MA,5083781166
94 REAR CONDOR STREET,TOWER,30821,EAST BOSTON,48623,,"TODISCO SERVICES, INC.",MA,7812612000
60 FRANKLIN ST REAR,TOWER,31849,EAST BRIDGEWATER,52815,TIMOTHY J BAILEY,BAILEY'S TRI TOWN SERVICE,MA,5082794454
556 BEDFORD STREET,TOWER,28146,EAST BRIDGEWATER,24488,,E. J. M. AUTO,MA,5086976963
349 NO. BEDFORD ST.,TOWER,21949,EAST BRIDGEWATER,5103,,PAUL WOLFE MOTOR SALES,MA,5083783991
281 EAST MAIN ST.,TOWER,28210,EAST BROOKFIELD,25534,"PARSONS AUTO, INC.","PARSONS AUTO, INC.",MA,5084719665
174 SHAKER ROAD,TOWER,31020,EAST LONGMEADOW,48931,,"BACH TRUCKING & TRANS., INC.",MA,4133480907
65 MAPLE STREET,TOWER,9840,EAST LONGMEADOW,2874,,CUSTOM TOWING,MA,8772914365
347 ELM STREEt,TOWER,31657,EAST LONGMEADOW,52549,ANDREW C BORDONI,PRIDE TOWING & OFF ROAD RECOVE,MA,4137373539
1 Lovefield Street,TOWER,30839,EASTHAMPTON,48657,JOEL R. KEEFE,Aaron's 24-7 TOWING & RECOVERY,MA,4135273000
278 WASHINGTON STREET,TOWER,27705,EASTON,21073,,TOTAL AUTO REPAIR,MA,5082380056
21 POPLAR MOUNTAIN ROAD,TOWER,8283,ERVING,2712,,ROSELEDGE COMPANIES,MA,4132430089
8 MAIN STREET,TOWER,20226,ESSEX,4529,,ERNIE'S SERVICE,MA,9789272600
6 SCOTtS WAY,TOWER,30387,ESSEX,37492,,"SCOTT'S AUTO CLINIC, INC.",MA,9783528000
52 ROBIN STREET,TOWER,28003,EVERETT,22504,A. G. QUEALY TOWING INC,A. G. QUEALY TOWING INC,MA,7819373200
"96 VERNAL STREET, APT 1",TOWER,31516,EVERETT,52311,KAREN MOSKOFOGLOU,C & C TRANSPORT,MA,6173544640
3 BUELL STREET,TOWER,26635,EVERETT,7925,"PAUL'S TOWING, INC.","PAUL'S TOWING, INC.",MA,7815950400
196 Hutteston Avenue,TOWER,31227,FAIRHAVEN,51906,SARKIS ENTERPRISES INC,A & A AUTO,MA,5089929660
98 MIDDLE STREET,TOWER,31431,FAIRHAVEN,52188,,ARTISTIC AUTO BODY & AUTO SALE,MA,5089949688
99 SPRING STREET,TOWER,31098,FAIRHAVEN,50223,RICHARD N DUSSAULT,SPRING ST GARAGE,MA,5089955580
151 COVE STREET,TOWER,26846,FALL RIVER,16489,,AL PIVA'S GARAGE,MA,5086788341
545 BAY STREET,TOWER,31294,FALL RIVER,52002,,ALL DAY & ALL NIGHT TOWING INC,MA,5086781271
458 Maple Street,TOWER,31664,FALL RIVER,52561,JAMES B PALUMBO,BIG TOW,MA,5086439500
387 BEDFORD STREET,TOWER,25817,FALL RIVER,7045,,BROUGHAM MOTORS INC.,MA,5086736993
232 LAPHAM STREET,TOWER,31476,FALL RIVER,52249,,DOVER TOWING INC,MA,5086757475
155 WILLISTON STREET,TOWER,22044,FALL RIVER,5137,,FALL RIVER AUTO BODY,MA,5086736993
334 PRESIDENTS AVENUE,TOWER,31376,FALL RIVER,52116,MICHAEL CAMARA,JOHN'S AUTO SERVICE,MA,5086757476
96-98 ALDEN STREET,TOWER,31629,FALL RIVER,52507,,MEDEIROS AUTO BODY & SALES INC,MA,5086897504
231 BEDFORD STREET,TOWER,31354,FALL RIVER,52077,ELEVENTH STREET ASSOCIATES INC,SABER AUTO BODY,MA,4017283200
66 WILLIAM ST,TOWER,31818,FALL RIVER,52771,STEVE SYLVIA,STEVE'S TOWING,MA,5086735893
70 WILLIAM STREET,TOWER,30801,FALL RIVER,48603,,TECH SERVICE CENTER,MA,5086735808
322 LAPHAM STREET,TOWER,30802,FALL RIVER,48602,,TONY'S TOWING,MA,8448989151
330 FLINT STREET,TOWER,31709,FALL RIVER,52627,,TROY CITY TOWING LLC,MA,5086781271
235 JOHN STREET,TOWER,31679,FALL RIVER,52576,SALEM Z ALZAIBAK,VIC'S TOWING SERVICE,MA,5089954553
45 SIMPSON LANE,TOWER,13403,FALMOUTH,3216,,MANUEL SYLVESTER,MA,5087711632
45C SIMPSON LANE,TOWER,25680,FALMOUTH,6912,,SANDI'S TOWING,MA,5087711632
130 SPRING STREET,TOWER,30735,FLORENCE,48509,,1812 PAINT & BODY,MA,4135845610
